dataset,method,num_train,test_f1,test_acc,test_auc,val_auc
6_hist_fig_isamerican,pca,20,0.7188472462279951,0.7238401285398675,0.8401638696207087,1.0
6_hist_fig_isamerican,knn,20,0.8634177960810413,0.8634263908415345,0.901071945475756,1.0
6_hist_fig_isamerican,xgboost,20,0.6890941203734333,0.6890941956216108,0.7973165462170094,0.9166666666666666
6_hist_fig_isamerican,mlp,20,0.8502978146180451,0.8513757782687287,0.9473669688799392,1.0
6_hist_fig_isamerican,logreg,28,0.905045228028738,0.9050492858579764,0.962538545836564,1.0
6_hist_fig_isamerican,pca,28,0.8495140917643222,0.8495272580969624,0.9293981103030088,1.0
6_hist_fig_isamerican,knn,28,0.8175396062391368,0.8211627439147053,0.9170217604905376,1.0
6_hist_fig_isamerican,xgboost,28,0.7068279307702698,0.7165560249446792,0.859158976384453,1.0
6_hist_fig_isamerican,mlp,28,0.8730575889471437,0.8736672701669684,0.9542514944858208,1.0
6_hist_fig_isamerican,logreg,38,0.8713483903050369,0.8720016125781093,0.942426879770124,1.0
6_hist_fig_isamerican,pca,38,0.8826825305638359,0.8826849425519049,0.946048679642704,1.0
6_hist_fig_isamerican,knn,38,0.6893600431501551,0.7105422293892361,0.9119612279127824,0.9907407407407408
6_hist_fig_isamerican,xgboost,38,0.8452698775114029,0.845998790566418,0.9256865077817218,0.9861111111111112
6_hist_fig_isamerican,mlp,38,0.8783117163192182,0.878855069542431,0.9535773491438156,1.0
6_hist_fig_isamerican,logreg,53,0.9073932413322152,0.9073999191265668,0.958557679714062,1.0
6_hist_fig_isamerican,pca,53,0.8891954066595065,0.8892033966841892,0.9538100854370756,1.0
6_hist_fig_isamerican,knn,53,0.8235074839903817,0.8261221188839466,0.9353710735057096,0.9833333333333334
6_hist_fig_isamerican,xgboost,53,0.8685614400336553,0.8687828548321876,0.9372805760359888,0.9479166666666666
6_hist_fig_isamerican,mlp,53,0.8863364211468361,0.8867771936918722,0.9553899461535984,1.0
6_hist_fig_isamerican,logreg,74,0.9147206152946312,0.9147208121827411,0.9632053992921394,0.9722222222222224
6_hist_fig_isamerican,pca,74,0.8519900391496913,0.8527918781725888,0.9372110979292884,0.9907407407407408
6_hist_fig_isamerican,knn,74,0.8381654733343734,0.8397969543147208,0.9397392538736584,0.9652777777777778
